Year;Month;CPI
2019;January;1.3
2019;February;1.4
2019;March;1.3
2019;April;1.9
2019;May;1.4
2019;June;1.6
2019;July;1.6
2019;August;1.4
2019;September;1.2
2019;October;1.1
2019;November;1.0
2019;December;1.5
2020;January;2.1
2020;February;2.0
2020;March;1.8
2020;April;1.0
2020;May;0.8
2020;June;0.6
2020;July;-0.6
2020;August;-0.5
2020;September;-0.5
2020;October;-0.3
2020;November;0.2
2020;December;-0.2
2021;January;1.2
2021;February;1.5
2021;March;1.8
2021;April;2.0
2021;May;2.2
2021;June;2.4
2021;July;3.7
2021;August;3.8
2021;September;4.1
2021;October;4.4
2021;November;4.8
2021;December;4.9
2022;January;4.2
2022;February;4.3
2022;March;5.9
2022;April;6.3
2022;May;7.0
2022;June;6.7
2022;July;6.7
2022;August;7.0
2022;September;8.6
2022;October;8.8
2022;November;8.8
2022;December;8.1
2023;January;8.7
2023;February;8.7
2023;March;7.4
2023;April;7.2
2023;May;6.1
2023;June;6.4
2023;July;6.2
2023;August;6.1
2023;September;4.5
2023;October;3.8
2023;November;3.2
2023;December;3.7
2024;January;2.9
2024;February;2.5
2024;March;2.2
2024;April;2.2
2024;May;2.4
2024;June;2.2
2024;July;2.3
2024;August;1.9
2024;September;1.6
2024;October;2.0
2024;November;2.2
2024;December;2.6
